year,naics,l_w
2014,721,1.1680967053804219
2014,722,1.162024757912508
2014,81,1.1603363145740568
2015,11,1.2406490514240893
2015,113,1.2920139080523207
2015,21,1.1757320569263847
2015,211,1.191454093378764
2015,212,1.2162344223644326
2015,213,1.1394803672592304
2015,22,1.3515329839650398
2015,23,1.2042651775231081
2015,31-33,1.246956715668965
2015,33,1.2408201782882307
2015,321,1.2355146969880246
2015,327,1.2191608139744283
2015,331,1.2311164727400086
2015,332,1.2123618655178872
2015,333,1.231289508597591
2015,334,1.1845838465447591
2015,335,1.3830780277644805
2015,3361,1.2500447051249954
2015,337,1.2193024654239326
2015,339,1.388546682088388
2015,313,1.20447028164779
2015,315,1.2242024861464729
2015,322,1.2113377228199775
2015,323,1.1907223569239216
2015,324,1.5661555485298766
2015,325,1.2807923215173416
2015,326,1.2202022465615283
2015,42,1.162259823635087
2015,44-45,1.190653313268642
2015,481,1.3004321799586611
2015,482,1.293847468489639
2015,483,1.255917667238422
2015,484,1.2605002876791145
2015,485,1.2118524860864779
2015,486,1.1947834810232403
2015,487,1.1920053930656207
2015,493,1.173243294551569
2015,51,1.1931058753935837
2015,511,1.1621763913778616
2015,512,1.2134226285390313
2015,513,1.2303567137770592
2015,514,1.1739685678386784
2015,52,1.1710407906147227
2015,521,1.1717431483601155
2015,523,1.1604380128178962
2015,524,1.1800871791974994
2015,525,1.1862433862433863
2015,53,1.1663225608299492
2015,531,1.1644583186173425
2015,532,1.1718410326086957
2015,54,1.1514364610805206
2015,5411,1.176950120221092
2015,5415,1.1373077463730532
2015,55,1.1615831754947423
2015,56,1.1781757492542966
2015,561,1.1793615927169765
2015,562,1.1617692005414137
2015,61,1.251574464543336
2015,62,1.2114805143188245
2015,621,1.2005225200311473
2015,624,1.2138305461844476
2015,71,1.160512572756344
2015,711,1.148860336178826
2015,713,1.1732841541910755
2015,72,1.16346495180361
2015,721,1.1648620275944812
2015,722,1.1630532772396238
2015,81,1.1611191294758691
2016,11,1.240164578614026
2016,113,1.2712722015695994
2016,21,1.178453362015786
2016,211,1.183020522715313
2016,212,1.2182318387984237
2016,213,1.1471224374647357
2016,22,1.397980561184188
2016,23,1.1924447367387805
2016,31-33,1.2447881153427023
2016,33,1.239383439281833
2016,321,1.2293904717421766
2016,327,1.2106241355463347
2016,331,1.2364716413052323
2016,332,1.2118197257357228
2016,333,1.2342450111467567
2016,334,1.1810341973714702
2016,335,1.3816356377722439
2016,3361,1.246845575198389
2016,337,1.2037653541499254
2016,339,1.3896048109965635
2016,313,1.2018376111055629
2016,315,1.221548719502955
2016,322,1.210717749757517
2016,323,1.184668358100761
2016,324,1.5397605644969476
2016,325,1.2844986379556362
2016,326,1.2125573859033216
2016,42,1.1580192420115742
2016,44-45,1.188368524168552
2016,481,1.285961955213099
2016,482,1.3133229590615274
2016,483,1.2717606775995676
2016,484,1.267818781385548
2016,485,1.2102436770989722
2016,486,1.1984745481677996
2016,487,1.2063740623089199
2016,493,1.2066671631047237
2016,51,1.1720643446914918
2016,511,1.1422752120822004
2016,512,1.1949797245215992
2016,513,1.2080108898368669
2016,514,1.1545389991404118
2016,52,1.1737598403796101
2016,521,1.172110006802207
2016,523,1.1652117635667802
2016,524,1.1831247166791559
2016,525,1.175310445580716
2016,53,1.1617120018497415
2016,531,1.1594226668853536
2016,532,1.168775090240529
2016,54,1.146402560653152
2016,5411,1.1706239031320513
2016,5415,1.129598547175522
2016,55,1.1625245208417614
2016,56,1.1680043779642466
2016,561,1.1689044317522372
2016,562,1.1554313507978498
2016,61,1.2594852202421871
2016,62,1.2164711120339144
2016,621,1.2041764309108736
2016,624,1.2197127818866556
2016,71,1.175214465114762
2016,711,1.163983945049034
2016,713,1.1876532459497238
2016,72,1.15580598375069
2016,721,1.1564335135763708
2016,722,1.155628211885624
2016,81,1.1625219784118774
2017,11,1.2416223022377344
2017,113,1.264402214574293
2017,21,1.1992344348097805
2017,211,1.213646392739686
2017,212,1.2359330110013313
2017,213,1.1654027145801735
2017,22,1.3480090430535157
2017,23,1.189529567033324
2017,31-33,1.2461749425192243
2017,33,1.2417431446707172
2017,321,1.228481397534413
2017,327,1.2186013812497416
2017,331,1.2411322527601598
2017,332,1.2191710226017816
2017,333,1.2357389660342917
2017,334,1.1892755177689796
2017,335,1.3743204469948656
2017,3361,1.2523658783167875
2017,337,1.2101405345825296
2017,339,1.3790878127480857
2017,313,1.2000584681348665
2017,315,1.224328103153643
2017,322,1.2143228437762406
2017,323,1.1920647184474844
2017,324,1.515893937044503
2017,325,1.2901216631081576
2017,326,1.2149551962097023
2017,42,1.1656776529545783
2017,44-45,1.1887730418244247
2017,481,1.282791032358166
2017,482,1.3100724160631996
2017,483,1.2733723611850274
2017,484,1.2638972690784123
